alias,pop,parent,dims,gating_method,gating_args,collapseDataForGating,groupBy,preprocessing_method,preprocessing_args
SCFSC,+,root,"FSC-A,FSC-H",singletGate,"prediction_level = 0.99, maxit = 100",,,,
SCSSC,+,SCFSC,"SSC-A,SSC-H",singletGate,"prediction_level = 0.99, maxit = 100",,,,
Live,-,SCSSC,"V500-A",mindensity,,TRUE,batch,,
